2025-11-05 16:00:38 | INFO | Starting scheduled Instagram brand post...
2025-11-05 16:00:38 | ERROR | Error fetching brands: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /api/brands (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103f5f700>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-11-05 16:00:38 | ERROR | No brands found
2025-11-05 16:00:38 | ERROR | ❌ Scheduled Instagram post failed
2025-11-06 00:17:33 | INFO | 🔄 Daily Instagram post count reset
2025-11-06 00:17:33 | INFO | Starting scheduled Instagram brand post...
2025-11-06 00:17:34 | ERROR | Error fetching brands: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /api/brands (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103e415e0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-11-06 00:17:34 | ERROR | No brands found
2025-11-06 00:17:34 | ERROR | ❌ Scheduled Instagram post failed
2025-11-06 08:36:05 | INFO | Starting scheduled Instagram brand post...
2025-11-06 08:36:05 | ERROR | Error fetching brands: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /api/brands (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103f69d00>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-11-06 08:36:05 | ERROR | No brands found
2025-11-06 08:36:05 | ERROR | ❌ Scheduled Instagram post failed
