2025-11-06 16:41:44 | INFO | Starting scheduled Instagram brand post...
2025-11-06 16:41:44 | ERROR | Error fetching brands: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /api/brands (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103e24e20>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-11-06 16:41:44 | ERROR | No brands found
2025-11-06 16:41:44 | ERROR | ❌ Scheduled Instagram post failed
2025-11-07 00:00:47 | INFO | 🔄 Daily Instagram post count reset
2025-11-07 00:00:47 | INFO | Starting scheduled Instagram brand post...
2025-11-07 00:00:47 | ERROR | Error fetching brands: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /api/brands (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103f646a0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-11-07 00:00:47 | ERROR | No brands found
2025-11-07 00:00:47 | ERROR | ❌ Scheduled Instagram post failed
2025-11-07 08:00:04 | INFO | Starting scheduled Instagram brand post...
2025-11-07 08:00:04 | ERROR | Error fetching brands: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /api/brands (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103f5f130>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-11-07 08:00:04 | ERROR | No brands found
2025-11-07 08:00:04 | ERROR | ❌ Scheduled Instagram post failed
