2025-10-29 16:00:32 | INFO | Starting scheduled Instagram brand post...
2025-10-29 16:00:33 | ERROR | Error fetching brands: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /api/brands (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103f69280>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-29 16:00:33 | ERROR | No brands found
2025-10-29 16:00:33 | ERROR | ❌ Scheduled Instagram post failed
2025-10-30 08:53:11 | INFO | 🔄 Daily Instagram post count reset
2025-10-30 08:53:11 | INFO | Starting scheduled Instagram brand post...
2025-10-30 08:53:11 | ERROR | Error fetching brands: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /api/brands (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x105004490>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-30 08:53:11 | ERROR | No brands found
2025-10-30 08:53:11 | ERROR | ❌ Scheduled Instagram post failed
2025-10-30 08:53:11 | INFO | Starting scheduled Instagram brand post...
2025-10-30 08:53:11 | ERROR | Error fetching brands: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /api/brands (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103e41dc0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-30 08:53:11 | ERROR | No brands found
2025-10-30 08:53:11 | ERROR | ❌ Scheduled Instagram post failed
