2025-10-24 16:39:05 | INFO | Starting scheduled Instagram brand post...
2025-10-24 16:39:05 | ERROR | Error fetching brands: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /api/brands (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103e41ca0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-24 16:39:05 | ERROR | No brands found
2025-10-24 16:39:05 | ERROR | ❌ Scheduled Instagram post failed
2025-10-25 00:21:46 | INFO | 🔄 Daily Instagram post count reset
2025-10-25 00:21:46 | INFO | Starting scheduled Instagram brand post...
2025-10-25 00:21:46 | ERROR | Error fetching brands: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /api/brands (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x105004640>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-25 00:21:46 | ERROR | No brands found
2025-10-25 00:21:46 | ERROR | ❌ Scheduled Instagram post failed
2025-10-25 08:20:00 | INFO | Starting scheduled Instagram brand post...
2025-10-25 08:20:00 | ERROR | Error fetching brands: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /api/brands (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x105004fa0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-25 08:20:00 | ERROR | No brands found
2025-10-25 08:20:00 | ERROR | ❌ Scheduled Instagram post failed
