2025-11-01 17:01:25 | INFO | Starting scheduled Instagram brand post...
2025-11-01 17:01:25 | ERROR | Error fetching brands: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /api/brands (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103f69400>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-11-01 17:01:25 | ERROR | No brands found
2025-11-01 17:01:25 | ERROR | ❌ Scheduled Instagram post failed
2025-11-02 00:01:16 | INFO | 🔄 Daily Instagram post count reset
2025-11-02 00:01:16 | INFO | Starting scheduled Instagram brand post...
2025-11-02 00:01:16 | ERROR | Error fetching brands: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /api/brands (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103f64d00>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-11-02 00:01:16 | ERROR | No brands found
2025-11-02 00:01:16 | ERROR | ❌ Scheduled Instagram post failed
2025-11-02 08:00:52 | INFO | Starting scheduled Instagram brand post...
2025-11-02 08:00:52 | ERROR | Error fetching brands: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /api/brands (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x105004880>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-11-02 08:00:52 | ERROR | No brands found
2025-11-02 08:00:52 | ERROR | ❌ Scheduled Instagram post failed
