2025-11-03 16:00:06 | INFO | Starting scheduled Instagram brand post...
2025-11-03 16:00:06 | ERROR | Error fetching brands: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /api/brands (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103f644f0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-11-03 16:00:06 | ERROR | No brands found
2025-11-03 16:00:06 | ERROR | ❌ Scheduled Instagram post failed
2025-11-04 00:01:08 | INFO | 🔄 Daily Instagram post count reset
2025-11-04 00:01:09 | INFO | Starting scheduled Instagram brand post...
2025-11-04 00:01:09 | ERROR | Error fetching brands: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /api/brands (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103f64730>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-11-04 00:01:09 | ERROR | No brands found
2025-11-04 00:01:09 | ERROR | ❌ Scheduled Instagram post failed
2025-11-04 08:20:24 | INFO | Starting scheduled Instagram brand post...
2025-11-04 08:20:24 | ERROR | Error fetching brands: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /api/brands (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103f69b50>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-11-04 08:20:24 | ERROR | No brands found
2025-11-04 08:20:24 | ERROR | ❌ Scheduled Instagram post failed
